station,valid,tmpf,dwpf,relh,feel
DFW,2020-01-01 07:50,,,,
DFW,2020-01-01 07:53,42.10,25.00,50.42,37.09
DFW,2020-01-01 07:55,,,,
DFW,2020-01-01 08:00,,,,
DFW,2020-01-01 08:05,,,,
DFW,2020-01-01 08:10,,,,
DFW,2020-01-01 08:15,,,,
DFW,2020-01-01 08:20,,,,
DFW,2020-01-01 08:25,,,,
DFW,2020-01-01 08:30,,,,
DFW,2020-01-01 08:35,,,,
DFW,2020-01-01 08:40,,,,
DFW,2020-01-01 08:45,,,,
DFW,2020-01-01 08:50,,,,
DFW,2020-01-01 08:53,43.00,24.10,46.91,38.19
DFW,2020-01-01 08:55,,,,
DFW,2020-01-01 09:00,,,,
DFW,2020-01-01 09:05,,,,
DFW,2020-01-01 09:10,,,,
DFW,2020-01-01 09:15,,,,
DFW,2020-01-01 09:20,,,,
DFW,2020-01-01 09:25,,,,
DFW,2020-01-01 09:30,,,,
DFW,2020-01-01 09:35,,,,
DFW,2020-01-01 09:40,,,,
DFW,2020-01-01 09:45,,,,
DFW,2020-01-01 09:50,,,,
DFW,2020-01-01 09:53,42.10,26.10,52.78,37.69
DFW,2020-01-01 09:55,,,,
DFW,2020-01-01 10:00,,,,
DFW,2020-01-01 10:05,,,,
DFW,2020-01-01 10:10,,,,
DFW,2020-01-01 10:15,,,,
DFW,2020-01-01 10:20,,,,
DFW,2020-01-01 10:25,,,,
DFW,2020-01-01 10:30,,,,
DFW,2020-01-01 10:35,,,,
DFW,2020-01-01 10:40,,,,
DFW,2020-01-01 10:45,,,,
DFW,2020-01-01 10:50,,,,
DFW,2020-01-01 10:53,42.10,26.10,52.78,36.55
DFW,2020-01-01 10:55,,,,
DFW,2020-01-01 11:00,,,,
DFW,2020-01-01 11:05,,,,
DFW,2020-01-01 11:10,,,,
DFW,2020-01-01 11:15,,,,
DFW,2020-01-01 11:20,,,,
DFW,2020-01-01 11:25,,,,
DFW,2020-01-01 11:30,,,,
DFW,2020-01-01 11:35,,,,
DFW,2020-01-01 11:40,,,,
DFW,2020-01-01 11:45,,,,
DFW,2020-01-01 11:50,,,,
DFW,2020-01-01 11:53,43.00,26.10,50.98,37.66
DFW,2020-01-01 11:55,,,,
DFW,2020-01-01 12:00,,,,
DFW,2020-01-01 12:05,,,,
DFW,2020-01-01 12:10,,,,
DFW,2020-01-01 12:15,,,,
DFW,2020-01-01 12:20,,,,
DFW,2020-01-01 12:25,,,,
DFW,2020-01-01 12:30,,,,
DFW,2020-01-01 12:35,,,,
DFW,2020-01-01 12:40,,,,
DFW,2020-01-01 12:45,,,,
DFW,2020-01-01 12:50,,,,
DFW,2020-01-01 12:53,44.10,25.00,46.70,39.53
DFW,2020-01-01 12:55,,,,
DFW,2020-01-01 13:00,,,,
DFW,2020-01-01 13:05,,,,
DFW,2020-01-01 13:10,,,,
DFW,2020-01-01 13:15,,,,
DFW,2020-01-01 13:20,,,,
DFW,2020-01-01 13:25,,,,
DFW,2020-01-01 13:30,,,,
DFW,2020-01-01 13:35,,,,
DFW,2020-01-01 13:40,,,,
DFW,2020-01-01 13:45,,,,
DFW,2020-01-01 13:50,,,,
DFW,2020-01-01 13:53,45.00,26.10,47.23,40.63
DFW,2020-01-01 13:55,,,,
DFW,2020-01-01 14:00,,,,
DFW,2020-01-01 14:05,,,,
DFW,2020-01-01 14:10,,,,
DFW,2020-01-01 14:15,,,,
DFW,2020-01-01 14:20,,,,
DFW,2020-01-01 14:25,,,,
DFW,2020-01-01 14:30,,,,
DFW,2020-01-01 14:35,,,,
DFW,2020-01-01 14:40,,,,
DFW,2020-01-01 14:45,,,,
DFW,2020-01-01 14:50,,,,
DFW,2020-01-01 14:53,46.90,27.00,45.62,42.94
DFW,2020-01-01 14:55,,,,
DFW,2020-01-01 15:00,,,,
DFW,2020-01-01 15:05,,,,
DFW,2020-01-01 15:10,,,,
DFW,2020-01-01 15:15,,,,
DFW,2020-01-01 15:20,,,,
DFW,2020-01-01 15:25,,,,
DFW,2020-01-01 15:30,,,,
DFW,2020-01-01 15:35,,,,
DFW,2020-01-01 15:40,,,,
DFW,2020-01-01 15:45,,,,
DFW,2020-01-01 15:50,,,,
DFW,2020-01-01 15:53,48.00,28.90,47.32,43.41
DFW,2020-01-01 15:55,,,,
DFW,2020-01-01 16:00,,,,
DFW,2020-01-01 16:05,,,,
DFW,2020-01-01 16:10,,,,
DFW,2020-01-01 16:15,,,,
DFW,2020-01-01 16:20,,,,
DFW,2020-01-01 16:25,,,,
DFW,2020-01-01 16:30,,,,
DFW,2020-01-01 16:35,,,,
DFW,2020-01-01 16:40,,,,
DFW,2020-01-01 16:45,,,,
DFW,2020-01-01 16:50,,,,
DFW,2020-01-01 16:53,51.10,28.90,42.16,
DFW,2020-01-01 16:55,,,,
DFW,2020-01-01 17:00,,,,
DFW,2020-01-01 17:05,,,,
DFW,2020-01-01 17:10,,,,
DFW,2020-01-01 17:15,,,,
DFW,2020-01-01 17:20,,,,
DFW,2020-01-01 17:25,,,,
DFW,2020-01-01 17:30,,,,
DFW,2020-01-01 17:35,,,,
DFW,2020-01-01 17:40,,,,
DFW,2020-01-01 17:45,,,,
DFW,2020-01-01 17:50,,,,
DFW,2020-01-01 17:53,52.00,30.00,42.65,
DFW,2020-01-01 17:55,,,,
DFW,2020-01-01 18:00,,,,
DFW,2020-01-01 18:05,,,,
DFW,2020-01-01 18:10,,,,
DFW,2020-01-01 18:15,,,,
DFW,2020-01-01 18:20,,,,
DFW,2020-01-01 18:25,,,,
DFW,2020-01-01 18:30,,,,
DFW,2020-01-01 18:35,,,,
DFW,2020-01-01 18:40,,,,
DFW,2020-01-01 18:45,,,,
DFW,2020-01-01 18:50,,,,
DFW,2020-01-01 18:53,54.00,30.90,41.11,
DFW,2020-01-01 18:55,,,,
DFW,2020-01-01 19:00,,,,
DFW,2020-01-01 19:05,,,,
DFW,2020-01-01 19:10,,,,
DFW,2020-01-01 19:15,,,,
DFW,2020-01-01 19:20,,,,
DFW,2020-01-01 19:25,,,,
DFW,2020-01-01 19:30,,,,
DFW,2020-01-01 19:35,,,,
DFW,2020-01-01 19:40,,,,
DFW,2020-01-01 19:45,,,,
DFW,2020-01-01 19:50,,,,
DFW,2020-01-01 19:53,55.00,32.00,41.44,
DFW,2020-01-01 19:55,,,,
DFW,2020-01-01 20:00,,,,
DFW,2020-01-01 20:05,,,,
DFW,2020-01-01 20:10,,,,
DFW,2020-01-01 20:15,,,,
DFW,2020-01-01 20:20,,,,
DFW,2020-01-01 20:25,,,,
DFW,2020-01-01 20:30,,,,
DFW,2020-01-01 20:35,,,,
DFW,2020-01-01 20:40,,,,
DFW,2020-01-01 20:45,,,,
DFW,2020-01-01 20:50,,,,
DFW,2020-01-01 20:53,55.90,34.00,43.46,
DFW,2020-01-01 20:55,,,,
DFW,2020-01-01 21:00,,,,
DFW,2020-01-01 21:05,,,,
DFW,2020-01-01 21:10,,,,
DFW,2020-01-01 21:15,,,,
DFW,2020-01-01 21:20,,,,
DFW,2020-01-01 21:25,,,,
DFW,2020-01-01 21:30,,,,
DFW,2020-01-01 21:35,,,,
DFW,2020-01-01 21:40,,,,
DFW,2020-01-01 21:45,,,,
DFW,2020-01-01 21:50,,,,
DFW,2020-01-01 21:53,55.90,39.90,54.83,
DFW,2020-01-01 21:55,,,,
DFW,2020-01-01 22:00,,,,
DFW,2020-01-01 22:05,,,,
DFW,2020-01-01 22:10,,,,
DFW,2020-01-01 22:15,,,,
DFW,2020-01-01 22:20,,,,
DFW,2020-01-01 22:25,,,,
DFW,2020-01-01 22:30,,,,
DFW,2020-01-01 22:35,,,,
DFW,2020-01-01 22:40,,,,
DFW,2020-01-01 22:45,,,,
DFW,2020-01-01 22:50,,,,
DFW,2020-01-01 22:53,55.00,39.90,56.66,
DFW,2020-01-01 22:55,,,,
DFW,2020-01-01 23:00,,,,
DFW,2020-01-01 23:05,,,,
DFW,2020-01-01 23:10,,,,
DFW,2020-01-01 23:15,,,,
DFW,2020-01-01 23:20,,,,
DFW,2020-01-01 23:25,,,,
DFW,2020-01-01 23:30,,,,
DFW,2020-01-01 23:35,,,,
DFW,2020-01-01 23:40,,,,
DFW,2020-01-01 23:45,,,,
DFW,2020-01-01 23:50,,,,
DFW,2020-01-01 23:53,54.00,37.90,54.34,
DFW,2020-01-01 23:55,,,,
DFW,2020-01-02 00:00,,,,
DFW,2020-01-02 00:05,,,,
DFW,2020-01-02 00:10,,,,
DFW,2020-01-02 00:15,,,,
DFW,2020-01-02 00:20,,,,
DFW,2020-01-02 00:25,,,,
DFW,2020-01-02 00:30,,,,
DFW,2020-01-02 00:35,,,,
DFW,2020-01-02 00:40,,,,
DFW,2020-01-02 00:45,,,,
DFW,2020-01-02 00:50,,,,
DFW,2020-01-02 00:53,53.10,37.90,56.17,
DFW,2020-01-02 00:55,,,,
DFW,2020-01-02 01:00,,,,
DFW,2020-01-02 01:05,,,,
DFW,2020-01-02 01:10,,,,
DFW,2020-01-02 01:15,,,,
DFW,2020-01-02 01:20,,,,
DFW,2020-01-02 01:25,,,,
DFW,2020-01-02 01:30,,,,
DFW,2020-01-02 01:35,,,,
DFW,2020-01-02 01:40,,,,
DFW,2020-01-02 01:45,,,,
DFW,2020-01-02 01:50,,,,
DFW,2020-01-02 01:53,52.00,39.00,61.06,
DFW,2020-01-02 01:55,,,,
DFW,2020-01-02 02:00,,,,
DFW,2020-01-02 02:05,,,,
DFW,2020-01-02 02:10,,,,
DFW,2020-01-02 02:15,,,,
DFW,2020-01-02 02:20,,,,
DFW,2020-01-02 02:25,,,,
DFW,2020-01-02 02:30,,,,
DFW,2020-01-02 02:35,,,,
DFW,2020-01-02 02:40,,,,
DFW,2020-01-02 02:45,,,,
DFW,2020-01-02 02:50,,,,
DFW,2020-01-02 02:53,53.10,39.90,60.73,
DFW,2020-01-02 02:55,,,,
DFW,2020-01-02 03:00,,,,
DFW,2020-01-02 03:05,,,,
DFW,2020-01-02 03:10,,,,
DFW,2020-01-02 03:15,,,,
DFW,2020-01-02 03:20,,,,
DFW,2020-01-02 03:25,,,,
DFW,2020-01-02 03:30,,,,
DFW,2020-01-02 03:35,,,,
DFW,2020-01-02 03:40,,,,
DFW,2020-01-02 03:45,,,,
DFW,2020-01-02 03:50,,,,
DFW,2020-01-02 03:53,53.10,42.10,66.13,
DFW,2020-01-02 03:55,,,,
DFW,2020-01-02 04:00,,,,
DFW,2020-01-02 04:05,,,,
DFW,2020-01-02 04:10,,,,
DFW,2020-01-02 04:15,,,,
DFW,2020-01-02 04:20,,,,
DFW,2020-01-02 04:25,,,,
DFW,2020-01-02 04:30,,,,
DFW,2020-01-02 04:35,,,,
DFW,2020-01-02 04:40,,,,
DFW,2020-01-02 04:45,,,,
DFW,2020-01-02 04:50,,,,
DFW,2020-01-02 04:53,53.10,42.10,66.13,
DFW,2020-01-02 04:55,,,,
DFW,2020-01-02 05:00,,,,
DFW,2020-01-02 05:05,,,,
DFW,2020-01-02 05:10,,,,
DFW,2020-01-02 05:15,,,,
DFW,2020-01-02 05:20,,,,
DFW,2020-01-02 05:25,,,,
DFW,2020-01-02 05:30,,,,
DFW,2020-01-02 05:35,,,,
DFW,2020-01-02 05:40,,,,
DFW,2020-01-02 05:45,,,,
DFW,2020-01-02 05:50,,,,
DFW,2020-01-02 05:53,52.00,42.10,68.86,
DFW,2020-01-02 05:55,,,,
DFW,2020-01-02 06:00,,,,
DFW,2020-01-02 06:05,,,,
DFW,2020-01-02 06:10,,,,
DFW,2020-01-02 06:15,,,,
DFW,2020-01-02 06:20,,,,
DFW,2020-01-02 06:25,,,,
DFW,2020-01-02 06:30,,,,
DFW,2020-01-02 06:35,,,,
DFW,2020-01-02 06:40,,,,
DFW,2020-01-02 06:45,,,,
DFW,2020-01-02 06:50,,,,
DFW,2020-01-02 06:53,52.00,43.00,71.28,
DFW,2020-01-02 06:55,,,,
DFW,2020-01-02 07:00,,,,
DFW,2020-01-02 07:05,,,,
DFW,2020-01-02 07:10,,,,
DFW,2020-01-02 07:15,,,,
DFW,2020-01-02 07:20,,,,
DFW,2020-01-02 07:25,,,,
DFW,2020-01-02 07:30,,,,
DFW,2020-01-02 07:35,,,,
DFW,2020-01-02 07:40,,,,
DFW,2020-01-02 07:45,,,,
DFW,2020-01-02 07:50,,,,
DFW,2020-01-02 07:53,52.00,44.10,74.35,
DFW,2020-01-02 07:55,,,,
DFW,2020-01-02 08:00,,,,
DFW,2020-01-02 08:05,,,,
DFW,2020-01-02 08:10,,,,
DFW,2020-01-02 08:15,,,,
DFW,2020-01-02 08:20,,,,
DFW,2020-01-02 08:25,,,,
DFW,2020-01-02 08:30,,,,
DFW,2020-01-02 08:35,,,,
DFW,2020-01-02 08:40,,,,
DFW,2020-01-02 08:45,,,,
DFW,2020-01-02 08:50,,,,
DFW,2020-01-02 08:53,52.00,44.10,74.35,
DFW,2020-01-02 08:55,,,,
DFW,2020-01-02 09:00,,,,
DFW,2020-01-02 09:05,,,,
DFW,2020-01-02 09:10,,,,
DFW,2020-01-02 09:15,,,,
DFW,2020-01-02 09:20,,,,
DFW,2020-01-02 09:25,,,,
DFW,2020-01-02 09:30,,,,
DFW,2020-01-02 09:35,,,,
DFW,2020-01-02 09:40,,,,
DFW,2020-01-02 09:45,,,,
DFW,2020-01-02 09:50,,,,
DFW,2020-01-02 09:53,52.00,45.00,76.94,
DFW,2020-01-02 09:55,,,,
DFW,2020-01-02 10:00,,,,
DFW,2020-01-02 10:05,,,,
DFW,2020-01-02 10:10,,,,
DFW,2020-01-02 10:15,,,,
DFW,2020-01-02 10:20,,,,
DFW,2020-01-02 10:25,,,,
DFW,2020-01-02 10:30,,,,
DFW,2020-01-02 10:35,,,,
DFW,2020-01-02 10:40,,,,
DFW,2020-01-02 10:45,,,,
DFW,2020-01-02 10:50,,,,
DFW,2020-01-02 10:53,52.00,45.00,76.94,
DFW,2020-01-02 10:55,,,,
DFW,2020-01-02 11:00,,,,
DFW,2020-01-02 11:05,,,,
DFW,2020-01-02 11:10,,,,
DFW,2020-01-02 11:15,,,,
DFW,2020-01-02 11:20,,,,
DFW,2020-01-02 11:25,,,,
DFW,2020-01-02 11:30,,,,
DFW,2020-01-02 11:35,,,,
DFW,2020-01-02 11:40,,,,
DFW,2020-01-02 11:45,,,,
DFW,2020-01-02 11:50,,,,
DFW,2020-01-02 11:53,52.00,46.00,79.92,
DFW,2020-01-02 11:55,,,,
DFW,2020-01-02 12:00,,,,
DFW,2020-01-02 12:05,,,,
DFW,2020-01-02 12:10,,,,
DFW,2020-01-02 12:15,,,,
DFW,2020-01-02 12:20,,,,
DFW,2020-01-02 12:25,,,,
DFW,2020-01-02 12:30,,,,
DFW,2020-01-02 12:35,,,,
DFW,2020-01-02 12:40,,,,
DFW,2020-01-02 12:45,,,,
DFW,2020-01-02 12:50,,,,
DFW,2020-01-02 12:53,51.10,46.00,82.62,
DFW,2020-01-02 12:55,,,,
DFW,2020-01-02 13:00,,,,
DFW,2020-01-02 13:05,,,,
DFW,2020-01-02 13:10,,,,
DFW,2020-01-02 13:15,,,,
DFW,2020-01-02 13:20,,,,
DFW,2020-01-02 13:25,,,,
DFW,2020-01-02 13:30,,,,
DFW,2020-01-02 13:35,,,,
DFW,2020-01-02 13:40,,,,
DFW,2020-01-02 13:45,,,,
DFW,2020-01-02 13:50,,,,
DFW,2020-01-02 13:53,52.00,46.90,82.68,
DFW,2020-01-02 13:55,,,,
DFW,2020-01-02 14:00,,,,
DFW,2020-01-02 14:05,,,,
DFW,2020-01-02 14:10,,,,
DFW,2020-01-02 14:15,,,,
DFW,2020-01-02 14:20,,,,
DFW,2020-01-02 14:25,,,,
DFW,2020-01-02 14:30,,,,
DFW,2020-01-02 14:35,,,,
DFW,2020-01-02 14:40,,,,
DFW,2020-01-02 14:45,,,,
DFW,2020-01-02 14:50,,,,
DFW,2020-01-02 14:53,53.10,46.90,79.40,
DFW,2020-01-02 14:55,,,,
DFW,2020-01-02 15:00,,,,
DFW,2020-01-02 15:05,,,,
DFW,2020-01-02 15:10,,,,
DFW,2020-01-02 15:15,,,,
DFW,2020-01-02 15:20,,,,
DFW,2020-01-02 15:25,,,,
DFW,2020-01-02 15:30,,,,
DFW,2020-01-02 15:35,,,,
DFW,2020-01-02 15:40,,,,
DFW,2020-01-02 15:50,,,,
DFW,2020-01-02 15:53,54.00,46.90,76.83,
DFW,2020-01-02 15:55,,,,
DFW,2020-01-02 16:00,,,,
DFW,2020-01-02 16:05,,,,
DFW,2020-01-02 16:10,,,,
DFW,2020-01-02 16:15,,,,
DFW,2020-01-02 16:20,,,,
DFW,2020-01-02 16:25,,,,
DFW,2020-01-02 16:30,,,,
DFW,2020-01-02 16:35,,,,
DFW,2020-01-02 16:40,,,,
DFW,2020-01-02 16:45,,,,
DFW,2020-01-02 16:50,,,,
DFW,2020-01-02 16:53,57.00,46.90,68.90,
DFW,2020-01-02 16:55,,,,
DFW,2020-01-02 17:00,,,,
DFW,2020-01-02 17:05,,,,
DFW,2020-01-02 17:10,,,,
DFW,2020-01-02 17:15,,,,
DFW,2020-01-02 17:20,,,,
DFW,2020-01-02 17:25,,,,
DFW,2020-01-02 17:30,,,,
DFW,2020-01-02 17:35,,,,
DFW,2020-01-02 17:40,,,,
DFW,2020-01-02 17:45,,,,
DFW,2020-01-02 17:50,,,,
DFW,2020-01-02 17:53,59.00,48.00,66.83,
DFW,2020-01-02 17:55,,,,
DFW,2020-01-02 18:00,,,,
DFW,2020-01-02 18:05,,,,
DFW,2020-01-02 18:10,,,,
DFW,2020-01-02 18:15,,,,
DFW,2020-01-02 18:20,,,,
DFW,2020-01-02 18:25,,,,
DFW,2020-01-02 18:30,,,,
DFW,2020-01-02 18:35,,,,
DFW,2020-01-02 18:40,,,,
DFW,2020-01-02 18:45,,,,
DFW,2020-01-02 18:50,,,,
DFW,2020-01-02 18:53,60.10,48.00,64.26,
DFW,2020-01-02 18:55,,,,
DFW,2020-01-02 19:00,,,,
DFW,2020-01-02 19:05,,,,
DFW,2020-01-02 19:10,,,,
DFW,2020-01-02 19:15,,,,
DFW,2020-01-02 19:20,,,,
DFW,2020-01-02 19:25,,,,
DFW,2020-01-02 19:30,,,,
DFW,2020-01-02 19:35,,,,
DFW,2020-01-02 19:40,,,,
DFW,2020-01-02 19:45,,,,
DFW,2020-01-02 19:50,,,,
DFW,2020-01-02 19:53,60.10,48.00,64.26,
DFW,2020-01-02 19:55,,,,
DFW,2020-01-02 20:00,,,,
DFW,2020-01-02 20:05,,,,
DFW,2020-01-02 20:10,,,,
DFW,2020-01-02 20:15,,,,
DFW,2020-01-02 20:20,,,,
DFW,2020-01-02 20:25,,,,
DFW,2020-01-02 20:30,,,,
DFW,2020-01-02 20:35,,,,
DFW,2020-01-02 20:40,,,,
DFW,2020-01-02 20:45,,,,
DFW,2020-01-02 20:50,,,,
DFW,2020-01-02 20:53,60.10,48.00,64.26,
DFW,2020-01-02 20:55,,,,
DFW,2020-01-02 21:00,,,,
DFW,2020-01-02 21:05,,,,
DFW,2020-01-02 21:10,,,,
DFW,2020-01-02 21:15,,,,
DFW,2020-01-02 21:20,,,,
DFW,2020-01-02 21:25,,,,
DFW,2020-01-02 21:30,,,,
DFW,2020-01-02 21:35,,,,
DFW,2020-01-02 21:40,,,,
DFW,2020-01-02 21:45,,,,
DFW,2020-01-02 21:50,,,,
DFW,2020-01-02 21:53,60.10,48.90,66.46,
DFW,2020-01-02 21:55,,,,
DFW,2020-01-02 22:00,,,,
DFW,2020-01-02 22:05,,,,
DFW,2020-01-02 22:10,,,,
DFW,2020-01-02 22:15,,,,
DFW,2020-01-02 22:20,,,,
DFW,2020-01-02 22:25,,,,
DFW,2020-01-02 22:30,,,,
DFW,2020-01-02 22:35,,,,
DFW,2020-01-02 22:40,,,,
DFW,2020-01-02 22:45,,,,
DFW,2020-01-02 22:50,,,,
DFW,2020-01-02 22:53,59.00,48.90,69.12,
DFW,2020-01-02 22:55,,,,
DFW,2020-01-02 23:00,,,,
DFW,2020-01-02 23:05,,,,
DFW,2020-01-02 23:10,,,,
DFW,2020-01-02 23:15,,,,
DFW,2020-01-02 23:20,,,,
DFW,2020-01-02 23:25,,,,
DFW,2020-01-02 23:30,,,,
DFW,2020-01-02 23:35,,,,
DFW,2020-01-02 23:40,,,,
DFW,2020-01-02 23:45,,,,
DFW,2020-01-02 23:50,,,,
DFW,2020-01-02 23:53,55.90,48.90,77.28,
DFW,2020-01-02 23:55,,,,
DFW,2020-01-03 00:00,,,,
DFW,2020-01-03 00:05,,,,
DFW,2020-01-03 00:10,,,,
DFW,2020-01-03 00:15,,,,
DFW,2020-01-03 00:20,,,,
DFW,2020-01-03 00:25,,,,
DFW,2020-01-03 00:30,,,,
DFW,2020-01-03 00:35,,,,
DFW,2020-01-03 00:40,,,,
DFW,2020-01-03 00:45,,,,
DFW,2020-01-03 00:50,,,,
DFW,2020-01-03 00:53,55.00,48.90,79.85,
DFW,2020-01-03 00:55,,,,
DFW,2020-01-03 01:00,,,,
DFW,2020-01-03 01:05,,,,
DFW,2020-01-03 01:10,,,,
DFW,2020-01-03 01:15,,,,
DFW,2020-01-03 01:20,,,,
DFW,2020-01-03 01:25,,,,
DFW,2020-01-03 01:30,,,,
DFW,2020-01-03 01:35,,,,
DFW,2020-01-03 01:40,,,,
DFW,2020-01-03 01:45,,,,
DFW,2020-01-03 01:50,,,,
DFW,2020-01-03 01:53,52.00,48.90,89.13,
DFW,2020-01-03 01:55,,,,
DFW,2020-01-03 02:00,,,,
DFW,2020-01-03 02:05,,,,
DFW,2020-01-03 02:10,,,,
DFW,2020-01-03 02:15,,,,
DFW,2020-01-03 02:20,,,,
DFW,2020-01-03 02:25,,,,
DFW,2020-01-03 02:30,,,,
DFW,2020-01-03 02:35,,,,
DFW,2020-01-03 02:40,,,,
DFW,2020-01-03 02:45,,,,
DFW,2020-01-03 02:50,,,,
DFW,2020-01-03 02:53,50.00,48.00,92.80,47.77
DFW,2020-01-03 02:55,,,,
DFW,2020-01-03 03:00,,,,
DFW,2020-01-03 03:05,,,,
DFW,2020-01-03 03:10,,,,
DFW,2020-01-03 03:15,,,,
DFW,2020-01-03 03:20,,,,
DFW,2020-01-03 03:25,,,,
DFW,2020-01-03 03:30,,,,
DFW,2020-01-03 03:35,,,,
DFW,2020-01-03 03:40,,,,
DFW,2020-01-03 03:45,,,,
DFW,2020-01-03 03:50,,,,
DFW,2020-01-03 03:53,50.00,48.00,92.80,47.77
DFW,2020-01-03 03:55,,,,
DFW,2020-01-03 04:00,,,,
DFW,2020-01-03 04:05,,,,
DFW,2020-01-03 04:10,,,,
DFW,2020-01-03 04:15,,,,
DFW,2020-01-03 04:20,,,,
DFW,2020-01-03 04:25,,,,
DFW,2020-01-03 04:30,,,,
DFW,2020-01-03 04:35,,,,
DFW,2020-01-03 04:40,,,,
DFW,2020-01-03 04:45,,,,
DFW,2020-01-03 04:50,,,,
DFW,2020-01-03 04:53,48.00,46.90,95.95,46.98
DFW,2020-01-03 04:55,,,,
DFW,2020-01-03 05:00,,,,
DFW,2020-01-03 05:05,,,,
DFW,2020-01-03 05:10,,,,
DFW,2020-01-03 05:15,,,,
DFW,2020-01-03 05:20,,,,
DFW,2020-01-03 05:25,,,,
DFW,2020-01-03 05:30,,,,
DFW,2020-01-03 05:35,,,,
DFW,2020-01-03 05:40,,,,
DFW,2020-01-03 05:45,,,,
DFW,2020-01-03 05:50,,,,
DFW,2020-01-03 05:53,48.00,46.90,95.95,44.80
DFW,2020-01-03 05:55,,,,
DFW,2020-01-03 06:00,,,,
DFW,2020-01-03 06:05,,,,
DFW,2020-01-03 06:10,,,,
DFW,2020-01-03 06:15,,,,
