,station,valid,tmpf,dwpf,relh,feel
742,DFW,2020-01-03 08:53,42.1,39.9,91.84,40.23
750,DFW,2020-01-03 09:28,46.0,41.0,82.58,40.92
752,DFW,2020-01-03 09:32,46.0,43.0,89.2,42.39
754,DFW,2020-01-03 09:38,46.0,44.1,93.03,43.02
758,DFW,2020-01-03 09:53,46.0,45.0,96.28,43.77
771,DFW,2020-01-03 10:53,48.0,45.0,89.29,42.69
784,DFW,2020-01-03 11:53,48.0,44.1,86.28,41.79
788,DFW,2020-01-03 12:06,48.0,44.1,86.28,42.69
798,DFW,2020-01-03 12:53,46.9,43.0,86.21,40.37
811,DFW,2020-01-03 13:53,46.9,42.1,83.28,40.97
819,DFW,2020-01-03 14:27,46.9,42.1,83.28,40.97
825,DFW,2020-01-03 14:53,46.9,41.0,79.82,40.37
838,DFW,2020-01-03 15:53,50.0,41.0,71.07,45.21
848,DFW,2020-01-03 16:39,52.0,41.0,66.0,
852,DFW,2020-01-03 16:53,52.0,41.0,66.0,
865,DFW,2020-01-03 17:53,55.9,42.1,59.71,
878,DFW,2020-01-03 18:53,59.0,39.9,49.04,
891,DFW,2020-01-03 19:53,59.0,37.0,43.78,
904,DFW,2020-01-03 20:53,57.9,35.1,42.24,
917,DFW,2020-01-03 21:53,57.9,30.9,35.69,
930,DFW,2020-01-03 22:53,57.0,33.1,40.28,
943,DFW,2020-01-03 23:53,55.0,33.1,43.31,
956,DFW,2020-01-04 00:53,53.1,33.1,46.42,
969,DFW,2020-01-04 01:53,52.0,32.0,46.25,
982,DFW,2020-01-04 02:53,50.0,32.0,49.81,45.21
995,DFW,2020-01-04 03:53,48.0,32.0,53.67,43.41
1008,DFW,2020-01-04 04:53,45.0,30.9,57.5,40.63
1021,DFW,2020-01-04 05:53,46.0,30.9,55.36,41.84
1034,DFW,2020-01-04 06:53,44.1,30.9,59.5,39.53
1047,DFW,2020-01-04 07:53,41.0,30.9,67.03,36.37
1060,DFW,2020-01-04 08:53,37.0,28.9,72.24,33.26
1073,DFW,2020-01-04 09:53,39.0,30.0,69.85,35.59
1086,DFW,2020-01-04 10:53,37.0,30.0,75.56,33.26
1099,DFW,2020-01-04 11:53,37.0,30.0,75.56,34.4
1112,DFW,2020-01-04 12:53,39.0,30.0,69.85,
1125,DFW,2020-01-04 13:53,37.9,30.9,75.64,32.64
1138,DFW,2020-01-04 14:53,43.0,33.1,67.82,37.19
1151,DFW,2020-01-04 15:53,46.9,30.0,51.58,42.94
1164,DFW,2020-01-04 16:53,50.0,26.1,39.14,47.21
1177,DFW,2020-01-04 17:53,53.1,26.1,34.9,
1190,DFW,2020-01-04 18:53,54.0,27.0,35.05,
1203,DFW,2020-01-04 19:53,55.9,27.0,32.71,
1216,DFW,2020-01-04 20:53,57.0,28.0,32.75,
1229,DFW,2020-01-04 21:53,57.0,28.0,32.75,
1242,DFW,2020-01-04 22:53,57.0,28.9,33.98,
1255,DFW,2020-01-04 23:53,53.1,28.9,39.16,
1268,DFW,2020-01-05 00:53,48.0,28.9,47.32,46.98
1281,DFW,2020-01-05 01:53,48.0,30.0,49.49,45.4
1294,DFW,2020-01-05 02:53,46.9,30.9,53.5,43.48
1307,DFW,2020-01-05 03:53,45.0,30.9,57.5,41.19
1320,DFW,2020-01-05 04:53,45.0,30.9,57.5,41.19
1333,DFW,2020-01-05 05:53,45.0,30.9,57.5,41.83
1346,DFW,2020-01-05 06:53,43.0,30.9,62.06,40.27
1359,DFW,2020-01-05 07:53,43.0,32.0,64.88,41.26
1372,DFW,2020-01-05 08:53,42.1,32.0,67.17,
1385,DFW,2020-01-05 09:53,42.1,32.0,67.17,36.55
1398,DFW,2020-01-05 10:53,41.0,32.0,70.08,35.2
1411,DFW,2020-01-05 11:53,39.9,32.0,73.14,36.65
1424,DFW,2020-01-05 12:53,39.0,32.0,75.75,32.74
1437,DFW,2020-01-05 13:53,41.0,33.1,73.25,35.2
1450,DFW,2020-01-05 14:53,46.9,34.0,60.61,41.65
1463,DFW,2020-01-05 15:53,55.9,33.1,41.92,
1476,DFW,2020-01-05 16:53,64.0,30.9,28.74,
1489,DFW,2020-01-05 17:53,64.9,30.0,26.85,
1502,DFW,2020-01-05 18:53,66.9,30.0,25.05,
1515,DFW,2020-01-05 19:53,68.0,30.0,24.12,
1528,DFW,2020-01-05 20:53,68.0,30.9,25.02,
1541,DFW,2020-01-05 21:53,68.0,30.9,25.02,
1553,DFW,2020-01-05 22:53,66.0,32.0,28.03,
1566,DFW,2020-01-05 23:53,59.0,33.1,37.49,
1579,DFW,2020-01-06 00:53,55.0,33.1,43.31,
1592,DFW,2020-01-06 01:53,52.0,34.0,50.12,
1605,DFW,2020-01-06 02:53,50.0,34.0,53.97,47.21
1618,DFW,2020-01-06 03:53,48.9,35.1,58.75,46.47
1631,DFW,2020-01-06 04:53,48.0,35.1,60.76,44.8
1644,DFW,2020-01-06 05:53,46.0,35.1,65.52,41.84
1657,DFW,2020-01-06 06:53,45.0,35.1,68.05,39.68
1670,DFW,2020-01-06 07:53,42.1,34.0,72.78,36.55
1683,DFW,2020-01-06 08:53,39.9,33.1,76.44,34.41
1696,DFW,2020-01-06 09:53,39.9,33.1,76.44,35.04
1709,DFW,2020-01-06 10:53,39.0,33.1,79.17,32.74
1722,DFW,2020-01-06 11:53,41.0,34.0,75.94,37.93
1735,DFW,2020-01-06 12:53,39.9,33.1,76.44,36.65
1748,DFW,2020-01-06 13:53,39.9,33.1,76.44,35.04
1761,DFW,2020-01-06 14:53,44.1,33.1,65.02,42.52
1774,DFW,2020-01-06 15:53,50.0,34.0,53.97,48.44
1787,DFW,2020-01-06 16:53,54.0,33.1,44.92,
1800,DFW,2020-01-06 17:53,59.0,33.1,37.49,
1813,DFW,2020-01-06 18:53,63.0,33.1,32.53,
1826,DFW,2020-01-06 19:53,63.0,34.0,33.72,
1839,DFW,2020-01-06 20:53,64.0,33.1,31.41,
1852,DFW,2020-01-06 21:53,64.0,33.1,31.41,
1865,DFW,2020-01-06 22:53,62.1,33.1,33.58,
1878,DFW,2020-01-06 23:53,57.0,33.1,40.28,
1891,DFW,2020-01-07 00:53,57.0,33.1,40.28,
1904,DFW,2020-01-07 01:53,55.0,33.1,43.31,
1917,DFW,2020-01-07 02:53,52.0,33.1,48.34,
1930,DFW,2020-01-07 03:53,48.9,33.1,54.24,43.82
1943,DFW,2020-01-07 04:53,45.0,30.0,55.43,40.63
1956,DFW,2020-01-07 05:53,46.0,28.0,49.18,43.77
1969,DFW,2020-01-07 06:53,44.1,28.0,52.86,41.55
1982,DFW,2020-01-07 07:53,39.9,28.0,62.15,35.78
1995,DFW,2020-01-07 08:53,39.0,26.1,59.52,36.69
2008,DFW,2020-01-07 09:53,42.1,24.1,48.56,36.55
2021,DFW,2020-01-07 10:53,42.1,23.0,46.37,35.23
2034,DFW,2020-01-07 11:53,42.1,21.9,44.27,36.07
2047,DFW,2020-01-07 12:53,39.9,21.9,48.21,32.87
2060,DFW,2020-01-07 13:53,36.0,21.9,56.18,29.65
2073,DFW,2020-01-07 14:53,43.0,23.0,44.8,40.27
2086,DFW,2020-01-07 15:53,48.0,21.0,34.05,45.4
2099,DFW,2020-01-07 16:53,54.0,21.0,27.27,
2112,DFW,2020-01-07 17:53,57.9,21.9,24.59,
2125,DFW,2020-01-07 18:53,60.1,19.9,20.88,
2138,DFW,2020-01-07 19:53,62.1,21.0,20.38,
2151,DFW,2020-01-07 20:53,63.0,18.0,17.37,
2164,DFW,2020-01-07 21:53,63.0,17.1,16.71,
2177,DFW,2020-01-07 22:53,61.0,19.0,19.46,
2190,DFW,2020-01-07 23:53,55.9,21.0,25.45,
2203,DFW,2020-01-08 00:53,52.0,21.9,30.49,
2216,DFW,2020-01-08 01:53,51.1,23.0,33.01,
2229,DFW,2020-01-08 02:53,48.9,24.1,37.52,45.88
2242,DFW,2020-01-08 03:53,46.9,25.0,41.99,42.47
2255,DFW,2020-01-08 04:53,45.0,25.0,45.12,40.63
2268,DFW,2020-01-08 05:53,46.0,21.9,38.15,42.39
2281,DFW,2020-01-08 06:53,43.0,23.0,44.8,37.19
2294,DFW,2020-01-08 07:53,39.9,24.1,52.88,35.04
2307,DFW,2020-01-08 08:53,41.0,23.0,48.39,37.93
2320,DFW,2020-01-08 09:53,42.1,21.9,44.27,39.21
2333,DFW,2020-01-08 10:53,39.9,23.0,50.5,35.04
2346,DFW,2020-01-08 11:53,37.0,24.1,59.24,30.87
2359,DFW,2020-01-08 12:53,37.0,24.1,59.24,30.27
2372,DFW,2020-01-08 13:53,39.0,24.1,54.77,32.74
2385,DFW,2020-01-08 14:53,46.0,24.1,41.84,40.16
2398,DFW,2020-01-08 15:53,53.1,24.1,32.11,
2411,DFW,2020-01-08 16:53,55.9,26.1,31.51,
2424,DFW,2020-01-08 17:53,60.1,26.1,27.1,
2437,DFW,2020-01-08 18:53,62.1,27.0,26.2,
2450,DFW,2020-01-08 19:53,63.0,27.0,25.38,
2463,DFW,2020-01-08 20:53,63.0,26.1,24.46,
2476,DFW,2020-01-08 21:53,63.0,24.1,22.5,
2489,DFW,2020-01-08 22:53,62.1,26.1,25.24,
2502,DFW,2020-01-08 23:53,59.0,32.0,35.87,
2515,DFW,2020-01-09 00:53,57.0,36.0,45.22,
2528,DFW,2020-01-09 01:53,57.9,39.0,49.26,
2541,DFW,2020-01-09 02:53,57.9,41.0,53.24,
2554,DFW,2020-01-09 03:53,57.9,44.1,59.98,
2567,DFW,2020-01-09 04:53,57.0,46.9,68.9,
2580,DFW,2020-01-09 05:53,57.9,50.0,74.91,
2593,DFW,2020-01-09 06:53,57.9,51.1,78.03,
2603,DFW,2020-01-09 07:36,59.0,52.0,77.55,
2607,DFW,2020-01-09 07:53,59.0,52.0,77.55,
2620,DFW,2020-01-09 08:53,59.0,53.1,80.75,
2633,DFW,2020-01-09 09:53,59.0,54.0,83.46,
2646,DFW,2020-01-09 10:53,59.0,54.0,83.46,
2659,DFW,2020-01-09 11:53,60.1,55.0,83.23,
2672,DFW,2020-01-09 12:53,59.0,55.0,86.56,
2685,DFW,2020-01-09 13:53,60.1,55.9,85.99,
2698,DFW,2020-01-09 14:53,60.1,57.0,89.48,
2711,DFW,2020-01-09 15:53,62.1,57.0,83.36,
2724,DFW,2020-01-09 16:53,63.0,57.9,83.42,
2737,DFW,2020-01-09 17:53,64.0,60.1,87.14,
2750,DFW,2020-01-09 18:53,64.0,60.1,87.14,
2763,DFW,2020-01-09 19:53,66.0,61.0,83.91,
2769,DFW,2020-01-09 20:16,66.0,61.0,83.91,
2777,DFW,2020-01-09 20:53,68.0,61.0,78.3,
2790,DFW,2020-01-09 21:53,70.0,62.1,76.01,
2799,DFW,2020-01-09 22:32,70.0,62.1,76.01,
2804,DFW,2020-01-09 22:53,70.0,62.1,76.01,
2817,DFW,2020-01-09 23:53,68.0,61.0,78.3,
2830,DFW,2020-01-10 00:53,66.9,63.0,87.28,
2843,DFW,2020-01-10 01:53,66.0,63.0,90.05,
2856,DFW,2020-01-10 02:53,66.0,63.0,90.05,
2860,DFW,2020-01-10 03:09,66.9,63.0,87.28,
2870,DFW,2020-01-10 03:53,66.9,63.0,87.28,
2883,DFW,2020-01-10 04:53,68.0,62.1,81.41,
2896,DFW,2020-01-10 05:53,68.0,62.1,81.41,
2909,DFW,2020-01-10 06:53,66.9,63.0,87.28,
2922,DFW,2020-01-10 07:53,66.9,63.0,87.28,
2935,DFW,2020-01-10 08:53,66.9,63.0,87.28,
2948,DFW,2020-01-10 09:53,66.0,63.0,90.05,
2961,DFW,2020-01-10 10:53,66.9,63.0,87.28,
2974,DFW,2020-01-10 11:53,66.9,63.0,87.28,
2987,DFW,2020-01-10 12:53,66.9,63.0,87.28,
3000,DFW,2020-01-10 13:53,68.0,63.0,84.03,
3013,DFW,2020-01-10 14:53,66.0,64.0,93.26,
3026,DFW,2020-01-10 15:53,68.0,64.9,89.81,
3039,DFW,2020-01-10 16:53,68.0,64.9,89.81,
3052,DFW,2020-01-10 17:53,68.0,64.9,89.81,
3055,DFW,2020-01-10 18:01,68.0,64.9,89.81,
3066,DFW,2020-01-10 18:53,68.0,64.9,89.81,
3079,DFW,2020-01-10 19:53,66.9,66.0,96.93,
3084,DFW,2020-01-10 20:12,66.9,66.0,96.93,
3093,DFW,2020-01-10 20:53,69.1,64.9,86.48,
3106,DFW,2020-01-10 21:53,69.1,64.0,83.81,
3119,DFW,2020-01-10 22:53,68.0,64.9,89.81,
3132,DFW,2020-01-10 23:53,69.1,64.0,83.81,
3137,DFW,2020-01-11 00:14,69.1,64.9,86.48,
3143,DFW,2020-01-11 00:39,68.0,64.9,89.81,
3145,DFW,2020-01-11 00:45,64.0,63.0,96.55,
3147,DFW,2020-01-11 00:53,62.1,61.0,96.18,
3158,DFW,2020-01-11 01:43,61.0,60.1,96.85,
3161,DFW,2020-01-11 01:53,61.0,60.1,96.85,
3172,DFW,2020-01-11 02:43,60.1,60.1,100.0,
3175,DFW,2020-01-11 02:53,60.1,60.1,100.0,
3185,DFW,2020-01-11 03:39,53.1,51.1,92.89,
3189,DFW,2020-01-11 03:51,51.8,51.8,100.0,
3190,DFW,2020-01-11 03:53,51.1,50.0,96.0,
3195,DFW,2020-01-11 04:12,48.9,46.9,92.77,41.21
3197,DFW,2020-01-11 04:17,48.0,46.9,95.95,40.0
3200,DFW,2020-01-11 04:27,48.0,46.0,92.74,40.19
3201,DFW,2020-01-11 04:30,48.0,46.0,92.74,39.82
3206,DFW,2020-01-11 04:53,46.0,45.0,96.28,37.53
3209,DFW,2020-01-11 05:05,46.0,45.0,96.28,37.33
3214,DFW,2020-01-11 05:30,44.1,42.1,92.62,34.99
3219,DFW,2020-01-11 05:53,42.1,41.0,95.84,31.89
3225,DFW,2020-01-11 06:16,42.1,39.0,88.67,32.55
3233,DFW,2020-01-11 06:53,41.0,39.0,92.52,31.6
3246,DFW,2020-01-11 07:53,39.9,37.9,92.48,31.35
3259,DFW,2020-01-11 08:53,39.0,37.0,92.45,29.54
3263,DFW,2020-01-11 09:06,39.0,37.0,92.45,29.54
3268,DFW,2020-01-11 09:26,39.0,37.0,92.45,29.25
3274,DFW,2020-01-11 09:53,37.9,36.0,92.78,29.13
3287,DFW,2020-01-11 10:53,37.0,35.1,92.76,26.05
3300,DFW,2020-01-11 11:53,35.1,32.0,88.33,22.99
3313,DFW,2020-01-11 12:53,34.0,30.0,85.11,22.38
3325,DFW,2020-01-11 13:46,32.0,28.9,88.17,20.78
3327,DFW,2020-01-11 13:53,32.0,30.0,92.22,20.78
3331,DFW,2020-01-11 14:10,32.0,28.9,88.17,20.08
3334,DFW,2020-01-11 14:21,30.9,28.0,88.84,17.39
3341,DFW,2020-01-11 14:53,30.9,27.0,85.26,17.98
3344,DFW,2020-01-11 15:03,30.9,27.0,85.26,18.3
3346,DFW,2020-01-11 15:08,30.9,27.0,85.26,18.3
3352,DFW,2020-01-11 15:35,30.0,28.0,92.15,16.79
3354,DFW,2020-01-11 15:42,30.9,27.0,85.26,17.68
3357,DFW,2020-01-11 15:53,30.9,27.0,85.26,18.63
3362,DFW,2020-01-11 16:12,30.9,27.0,85.26,18.3
3370,DFW,2020-01-11 16:53,32.0,27.0,81.55,20.42
3383,DFW,2020-01-11 17:53,33.1,26.1,75.18,21.52
3396,DFW,2020-01-11 18:53,36.0,28.0,72.43,27.98
3398,DFW,2020-01-11 18:59,37.0,28.0,69.63,27.97
3410,DFW,2020-01-11 19:53,39.0,28.0,64.37,30.54
3423,DFW,2020-01-11 20:53,41.0,28.9,61.79,34.7
3436,DFW,2020-01-11 21:53,42.1,30.0,61.94,37.09
3449,DFW,2020-01-11 22:53,42.1,30.0,61.94,36.07
3462,DFW,2020-01-11 23:53,37.0,28.9,72.24,30.87
3475,DFW,2020-01-12 00:53,35.1,28.9,77.88,31.04
3488,DFW,2020-01-12 01:53,35.1,28.9,77.88,
3501,DFW,2020-01-12 02:53,35.1,30.0,81.46,30.08
3514,DFW,2020-01-12 03:53,33.1,28.9,84.36,27.7
3527,DFW,2020-01-12 04:53,33.1,28.9,84.36,27.7
3540,DFW,2020-01-12 05:53,32.0,28.9,88.17,25.53
3553,DFW,2020-01-12 06:53,33.1,30.0,88.23,25.47
3566,DFW,2020-01-12 07:53,33.1,30.0,88.23,26.86
3579,DFW,2020-01-12 08:53,32.0,30.0,92.22,26.4
3592,DFW,2020-01-12 09:53,32.0,30.0,92.22,24.78
3605,DFW,2020-01-12 10:53,30.9,28.9,92.18,24.21
3618,DFW,2020-01-12 11:53,32.0,30.0,92.22,24.78
3631,DFW,2020-01-12 12:53,30.9,30.0,96.41,23.44
3644,DFW,2020-01-12 13:53,32.0,30.9,95.65,25.53
3657,DFW,2020-01-12 14:53,34.0,32.0,92.29,26.0
3670,DFW,2020-01-12 15:53,37.0,34.0,88.78,30.27
3683,DFW,2020-01-12 16:53,39.0,34.0,82.08,34.71
3696,DFW,2020-01-12 17:53,45.0,36.0,70.53,39.68
3709,DFW,2020-01-12 18:53,48.9,37.0,63.34,44.93
3722,DFW,2020-01-12 19:53,54.0,37.9,54.34,
3735,DFW,2020-01-12 20:53,55.0,37.9,52.4,
3748,DFW,2020-01-12 21:53,55.9,39.0,52.94,
3761,DFW,2020-01-12 22:53,53.1,39.9,60.73,
3774,DFW,2020-01-12 23:53,51.1,39.9,65.38,
3787,DFW,2020-01-13 00:53,50.0,39.9,68.1,46.29
3800,DFW,2020-01-13 01:53,50.0,41.0,71.07,46.29
3813,DFW,2020-01-13 02:53,46.9,39.9,76.48,43.48
3826,DFW,2020-01-13 03:53,45.0,39.9,82.19,41.19
3839,DFW,2020-01-13 04:53,43.0,39.9,88.71,38.19
3852,DFW,2020-01-13 05:53,43.0,39.9,88.71,40.27
3865,DFW,2020-01-13 06:53,42.1,39.0,88.67,39.21
3878,DFW,2020-01-13 07:53,39.9,37.9,92.48,35.04
3891,DFW,2020-01-13 08:53,39.9,39.0,96.55,37.72
3904,DFW,2020-01-13 09:53,39.9,39.0,96.55,35.78
3917,DFW,2020-01-13 10:53,39.0,39.0,100.0,34.71
3930,DFW,2020-01-13 11:53,39.9,39.9,100.0,35.78
3933,DFW,2020-01-13 12:04,41.0,41.0,100.0,37.93
3940,DFW,2020-01-13 12:32,42.1,42.1,100.0,37.09
3945,DFW,2020-01-13 12:53,42.1,42.1,100.0,37.69
3949,DFW,2020-01-13 13:09,43.0,42.1,96.6,38.78
3953,DFW,2020-01-13 13:21,43.0,43.0,100.0,38.78
3960,DFW,2020-01-13 13:53,43.0,43.0,100.0,37.66
3973,DFW,2020-01-13 14:53,45.0,45.0,100.0,42.6
3986,DFW,2020-01-13 15:53,46.0,46.0,100.0,43.02
3999,DFW,2020-01-13 16:53,48.9,48.0,96.69,45.88
4007,DFW,2020-01-13 17:26,51.1,50.0,96.0,
4009,DFW,2020-01-13 17:33,51.1,50.0,96.0,
4014,DFW,2020-01-13 17:53,53.1,51.1,92.89,
4027,DFW,2020-01-13 18:53,55.9,51.1,83.88,
4040,DFW,2020-01-13 19:53,57.9,52.0,80.67,
4053,DFW,2020-01-13 20:53,59.0,53.1,80.75,
4066,DFW,2020-01-13 21:53,61.0,54.0,77.72,
4079,DFW,2020-01-13 22:53,60.1,54.0,80.25,
4092,DFW,2020-01-13 23:53,60.1,54.0,80.25,
4105,DFW,2020-01-14 00:53,59.0,53.1,80.75,
4116,DFW,2020-01-14 01:43,59.0,54.0,83.46,
4119,DFW,2020-01-14 01:53,59.0,54.0,83.46,
4128,DFW,2020-01-14 02:33,59.0,54.0,83.46,
4133,DFW,2020-01-14 02:53,59.0,54.0,83.46,
4146,DFW,2020-01-14 03:53,57.9,55.0,90.04,
4154,DFW,2020-01-14 04:28,57.9,55.9,93.04,
4160,DFW,2020-01-14 04:53,59.0,57.0,93.07,
4173,DFW,2020-01-14 05:53,59.0,57.0,93.07,
4177,DFW,2020-01-14 06:09,57.9,57.9,100.0,
4179,DFW,2020-01-14 06:14,57.9,57.9,100.0,
4188,DFW,2020-01-14 06:53,57.9,57.9,100.0,
4193,DFW,2020-01-14 07:13,57.9,57.9,100.0,
4202,DFW,2020-01-14 07:53,57.9,57.9,100.0,
4215,DFW,2020-01-14 08:53,57.0,57.0,100.0,
4228,DFW,2020-01-14 09:53,57.9,57.9,100.0,
4241,DFW,2020-01-14 10:53,57.9,57.9,100.0,
4248,DFW,2020-01-14 11:25,57.9,57.9,100.0,
4252,DFW,2020-01-14 11:42,59.0,57.9,96.13,
4255,DFW,2020-01-14 11:53,59.0,57.9,96.13,
4268,DFW,2020-01-14 12:53,59.0,57.9,96.13,
4281,DFW,2020-01-14 13:53,57.9,57.0,96.81,
4294,DFW,2020-01-14 14:53,59.0,57.9,96.13,
4307,DFW,2020-01-14 15:53,61.0,57.0,86.67,
4320,DFW,2020-01-14 16:53,63.0,55.9,77.61,
4328,DFW,2020-01-14 17:27,64.0,57.0,77.97,
4334,DFW,2020-01-14 17:53,64.9,55.9,72.61,
4341,DFW,2020-01-14 18:24,66.9,57.0,70.49,
4348,DFW,2020-01-14 18:53,69.1,57.0,65.35,
4361,DFW,2020-01-14 19:53,70.0,55.0,58.94,
4374,DFW,2020-01-14 20:53,70.0,55.0,58.94,
4387,DFW,2020-01-14 21:53,73.0,55.9,55.0,
4400,DFW,2020-01-14 22:53,71.1,55.9,58.65,
4413,DFW,2020-01-14 23:53,64.0,55.0,72.52,
4426,DFW,2020-01-15 00:53,61.0,54.0,77.72,
4439,DFW,2020-01-15 01:53,60.1,55.9,85.99,
4452,DFW,2020-01-15 02:53,59.0,57.9,96.13,
4460,DFW,2020-01-15 03:26,62.1,61.0,96.18,
4465,DFW,2020-01-15 03:46,62.1,61.0,96.18,
4467,DFW,2020-01-15 03:53,62.1,62.1,100.0,
4475,DFW,2020-01-15 04:30,62.1,62.1,100.0,
4480,DFW,2020-01-15 04:53,62.1,62.1,100.0,
4490,DFW,2020-01-15 05:40,63.0,63.0,100.0,
4493,DFW,2020-01-15 05:53,63.0,63.0,100.0,
4506,DFW,2020-01-15 06:53,63.0,63.0,100.0,
4519,DFW,2020-01-15 07:53,63.0,63.0,100.0,
4528,DFW,2020-01-15 08:34,63.0,63.0,100.0,
4533,DFW,2020-01-15 08:53,64.0,64.0,100.0,
4542,DFW,2020-01-15 09:33,64.0,64.0,100.0,
4547,DFW,2020-01-15 09:53,64.0,64.0,100.0,
4554,DFW,2020-01-15 10:22,64.9,64.9,100.0,
4561,DFW,2020-01-15 10:53,64.9,64.9,100.0,
4574,DFW,2020-01-15 11:53,66.0,66.0,100.0,
4587,DFW,2020-01-15 12:53,66.0,66.0,100.0,
4591,DFW,2020-01-15 13:09,66.0,66.0,100.0,
4594,DFW,2020-01-15 13:16,66.0,66.0,100.0,
4601,DFW,2020-01-15 13:49,66.2,66.2,100.0,
4603,DFW,2020-01-15 13:53,66.0,66.0,100.0,
4617,DFW,2020-01-15 14:59,68.0,68.0,100.0,
4626,DFW,2020-01-15 15:38,69.1,69.1,100.0,
4630,DFW,2020-01-15 15:53,69.1,68.0,96.29,
4643,DFW,2020-01-15 16:53,72.0,69.1,90.59,
4656,DFW,2020-01-15 17:53,75.0,68.0,78.86,
4662,DFW,2020-01-15 18:18,75.9,68.0,76.53,
4670,DFW,2020-01-15 18:53,77.0,66.9,71.03,
4674,DFW,2020-01-15 19:06,78.1,66.9,68.49,
4684,DFW,2020-01-15 19:53,79.0,66.0,64.45,
4697,DFW,2020-01-15 20:53,79.0,63.0,58.04,
4710,DFW,2020-01-15 21:53,79.0,62.1,56.23,
4723,DFW,2020-01-15 22:53,78.1,62.1,57.92,
4736,DFW,2020-01-15 23:53,73.0,62.1,68.66,
4749,DFW,2020-01-16 00:53,71.1,61.0,70.42,
4754,DFW,2020-01-16 01:14,70.0,61.0,73.11,
4763,DFW,2020-01-16 01:53,68.0,59.0,72.92,
4776,DFW,2020-01-16 02:53,66.0,55.9,69.88,
4789,DFW,2020-01-16 03:53,62.1,51.1,67.19,
